S.NO,School_Name,Location,City,Phone,Details
1,Aaradhya International School - AIS,"1888/3, Gram Munja Khedi, Narwar","Ujjain - 456010, Madhya Pradesh,",(982) 618-1870,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
2,Abhisar Public School,"751,752, Abhisar Bhawan, Science Center Road, Banganga Slums, North TT Nagar","Bhopal - 462003, Madhya Pradesh,",(982) 608-1041,"High Secondary School,CBSE Board,Private School,Co-Educational School,
"
3,Academic Heights Public School - AHPS Amla,"Near Shaheed Cho Bheem Nagar, Ward No. 13, Amla","Betul - 460553, Madhya Pradesh,",(831) 963-1959,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
4,Academic Heights Public School - AHPS Singrauli,"(HINDALCO), Gate No. 3, GORBI Raod, Bargawan","Anuppur - 486885, Madhya Pradesh,",(9977704570992) 630-0000,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
5,Academic Heights Public School - APHS,"Madan Mohan Choubey Ward Burgava, Anand Vihar Colony","Katni - 483501, Madhya Pradesh,",(9893531440942) 470-0000,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
6,Academic Heights Public School - APHS,"Rass-JB Campus, Ram Nagar Colony, Behind Diet Office, Civil Lines","Datia - 475661, Madhya Pradesh,",(9826438716752) 240-0000,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
7,Academic Heights Public School - APHS,"Ganesh Mandir, Near Aggarwal Bhawan, Timarni","Harda - 461228, Madhya Pradesh,",(6261670108982) 680-0000,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
8,Academic Heights Public School - APHS,"Gate No. 3, Gorbi Raod, Bargawan, District - Singrauli","Rewa - 486885, Madhya Pradesh,","(07805)-244822phone9977704570,898984037,9425331508","Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
9,Academic Heights Public School - APHS,"E-27, Neminath Nagar","Barwani - 451551, Madhya Pradesh,",(9425090315942) 590-0000,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
10,Academic Heights Public School - APHS Ashok Nagar,"New Bus Stand Near, Sri Krishan Vharam Kanta Bye Pass Road, Ashok Nagar","Guna - 473331, Madhya Pradesh,",(898) 213-1681,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
11,Academic Heights Public School - APHS Dewas,"5, Mahalaxmi Nagar, Opposite Apex Care Hospital","Dewas - 455001, Madhya Pradesh,",(975) 306-3233,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
12,Academic Heights Public School - APHS Gwalior,"B1020, Anand Nagar, Bahodapur","Gwalior - 474012, Madhya Pradesh,",(9203911157920) 390-0000,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
13,Academic Heights Public School - APHS Indore,"29, New Palasia, Opp. Bakhatgadh Tower","Indore - 452001, Madhya Pradesh,",(0731)-4066111phone9826393643,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
14,Academic Heights Public School - APHS Khandwa,"Near Gangrade Dharamshala, Badgaon Bhila Road","Khandwa - 450001, Madhya Pradesh,",(9425928036733) 290-0000,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
15,Academic Heights Public School - APHS Morena,"A.B. Road, Village Karua","Morena - 476001, Madhya Pradesh,",(9522283361952) 220-0000,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
16,Academic Heights Public School - APHS Satna,"Chandi Dai Road, Vill. Karhi Pawai, Panchayat-Karhi Kothar","Satna - 485001, Madhya Pradesh,",(9522270343913) 190-0000,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
17,Adarsh Academy School,"A.B. Road, Guljhari, Dhamnod","Dhar - 454001, Madhya Pradesh,",(07291)-222450phone7415493540,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
18,Adharshila Academy,"Navakheda, Mahaveer Tapobhumi, Sanwer Road","Ujjain - 456001, Madhya Pradesh,",(0734)-2981221phone9039065565,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
19,Aditya Birla Higher Secondary School - ABHSS Khor,"Durga Colony, Vikram Nagar, Khor","Neemuch - 458470, Madhya Pradesh,","(07420)-230475,235514,230830phone9425328194Fax:(07420)235524","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
20,Aditya Birla Public School - ABPS Nagda,"Grasim Industries Limited, Staple Fibre Division, Birlagram, Nagda","Ujjain - 456331, Madhya Pradesh,",(07366)-255106phone9617774472,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1986,
"
21,Aditya Birla Senior Secondary School - ABSSS Nagda,"Birlagram, Nagda","Ujjain - 456331, Madhya Pradesh,","(07366)-255173,256379phone8889944264Fax:(07366)244114","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1986,
"
22,Aditya Convent School,"231, Gopal Vihar, Damoh Naka","Jabalpur - 482002, Madhya Pradesh,",(0761)-2342323phone942583784Fax:(0761)2342424,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1999,
"
23,Aditya Public School,"Near Ram Tekri, Rewas Dewda Road","Mandsaur - 458001, Madhya Pradesh,","(07422)-244884phone9406868454,9479441944","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
24,Aditya World School,"Captain Upmayu Singh Road, Near Bansi Plaza, City Center, Patel Nagar","Gwalior - 474011, Madhya Pradesh,","(0751)-4079798,4079799","Primary School,CBSE Board,Private School,Co-Educational School,
"
25,Advance Academy,"Iskon Vihar Colony, Nipania Road","Indore - 452016, Madhya Pradesh,","(0734)-6466686,6466676phone9691125004,9302892041","Class I - Class X,CBSE Board,Private School,Co-Educational School,Established in 2000,
"
26,Advanced Academy,"ISKCON Vihar Colony, Nipania Road","Indore - 452016, Madhya Pradesh,","(0731)-6466676,6466686phone9827720868,9691125004,9302892041","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
27,Agarwal Academy,"Gram- Kamapar, NH-86, Vidisha Sanchi Road, Sanchi","Raisen - 464661, Madhya Pradesh,",(83495453407691900000000) 000-0000,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
28,Agarwal Public School,Bicholi Mardana Road,"Indore - 452016, Madhya Pradesh,",(0731)-4212666Fax:(0731)4212611,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
29,Ajay Satya Prakash Public School,"Gram-Kevlari, Tehsil - Panagar","Jabalpur - 483220, Madhya Pradesh,","(0761)-2350211phone9425383679,7389990011","Nursery - Class X,CBSE Board,Private School,Co-Educational School,Established in 2012,
"
30,Akshat International School,"Lalpur Nagjhiri, Dewas Road","Ujjain - 456001, Madhya Pradesh,",(0734)-2525909phone7489321777,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 2010,
"
31,All Saints' School,Gandhi Nagar,"Bhopal - 462036, Madhya Pradesh,","(0755)-2528644,2528853phone9303125018,9993512663,9425011814","Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
32,Amar Avasiya Vidyalaya,"Darpan Colony, Tatepur","Gwalior - 474011, Madhya Pradesh,","(0751)-2342208,2342344Fax:(0751)2345725","CBSE Board,Private School,Co-Educational School,Established in 1981,
"
33,Amar Jyoti School and Rehabilitation Centre,"Near IT Park, Gola Ka Mandir, Morena Link Road, Manpur","Gwalior - 474001, Madhya Pradesh,",(0751)-6004566,"Nursery - Class VIII,CBSE Board,Private School,Co-Educational School,Established in 1989,
"
34,Ammar Bagh Nonihal Senior Secondary School,"50, Chatri Bagh","Indore - 452001, Madhya Pradesh,","(0731)-2343602,2342791Fax:(0731)2789843","Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
35,Anand Vidhya Mandir High School,"State Bank Colony, Jahangirabad","Bhopal - 462008, Madhya Pradesh,","(0755)-2767878,2613096phone9826076787,9977446101","High Secondary School,CBSE Board,Private School,Co-Educational School,
"
36,Anand Vihar School,"Tulsi Nagar, Near New Market","Bhopal - 462003, Madhya Pradesh,",(0755)-2553792Fax:(0755)2553275,"Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 1963,
"
37,Angel's Abode Public School,"6 km., Jhansi Road, Bada Gaon, Khurd","Tikamgarh - 472001, Madhya Pradesh,",(9425145689992) 620-0000,"Class V - Class X,CBSE Board,Private School,Co-Educational School,
"
38,Angel's Nursery School,"JDA Scheme No. 5, Kachnaar City Road, Vijay Nagar","Jabalpur - 482001, Madhya Pradesh,",(0761)-4041192,"Nursery - Class V,CBSE Board,Private School,Co-Educational School,
"
39,Annie Besant School,"48 - Precanco Colony, Annapurna Road","Indore - 452001, Madhya Pradesh,","(0731)-2484034,2484035phone8889997722","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,
"
40,Anusuchit Jati Higher Secondary School,"No. 2, Garhi Mohalla Ward No. 5, Behind Police Station, Dabob, Block Lahar","Bhind - 477447, Madhya Pradesh,",(0751)-4081761phone9893891514,"High Secondary School,CBSE Board,Private School,Co-Educational School,
"
41,Anusuiya School,"Opposite ITC Soya Plant, Dakachya","Indore - 453771, Madhya Pradesh,",(99936662057389800000000) 000-0000,"Nursery - Class X,CBSE Board,Private School,Co-Educational School,Established in 2011,
"
42,Aria Finishing School,"405 A, Sivlrmall 8-A, Rnt Marg","Indore - 452001, Madhya Pradesh,",(0731)-4006699,"Senior Secondary School,CBSE Board,Private School,Co-Educational School,
"
43,Arihant International School,"453, Khandwa Road, Opp. Radha Swami Satsant, Near DAVV Takshila Parisar","Indore - 452017, Madhya Pradesh,",(0731)-2461303phone9826690690,"Play - Class XII,CBSE Board,Private School,Co-Educational School,Established in 2006,
"
44,Army Public School - APS Bhopal,"Dronanchal, Neori Hills, P.O. Motilal Nehru Nagar","Bhopal - 462038, Madhya Pradesh,","(0755)-2970386,2970388","Senior Secondary School,CBSE Board,Government School (Army/Military),Co-Educational School,
"
45,Army Public School - APS Gwalior,Morar Cantt.,"Gwalior - 474006, Madhya Pradesh,",(0751)-2463939,"Senior Secondary School,CBSE Board,Government School (Army/Military),Co-Educational School,
"
46,Army Public School - APS Jabalpur No. 1,"Water Works Road Dhobi Ghat, Near Gora Bazaar","Jabalpur - 482001, Madhya Pradesh,",(0761)-2668543phone7974394929,"Class I - Class XII,CBSE Board,Government School (Army/Military),Co-Educational School,Established in 1993,
"
47,Army Public School - APS Jabalpur No. 2,C/O Jak Rif RC,"Jabalpur - 482001, Madhya Pradesh,","(0761)-268715,6996555","Class I - Class XII,CBSE Board,Government School (Army/Military),Co-Educational School,
"
48,Army Public School - APS Mhow,"Mall Road, Mhow","Indore - 453441, Madhya Pradesh,",(07324)-272747phone9753723120,"Class I - Class XII,CBSE Board,Government School (Army/Military),Co-Educational School,Established in 1983,
"
49,Army Public School - APS Saugor,"Koregaon, Saugor Cantt","Sagar - 470001, Madhya Pradesh,",(07582)-240119,"Senior Secondary School,CBSE Board,Government School (Army/Military),Co-Educational School,
"
50,Aryan School of Sanskar,"Plot No. 1291, Gram Dhaneli, Near Ganeshpura Bagia, Morar","Gwalior - 474006, Madhya Pradesh,",(0751)-4036009phone9425115657,"Nursery - Class X,CBSE Board,Private School,Co-Educational School,
"
51,Ashoka Hall School,"Shiv Nagar, Damoh Naka","Jabalpur - 482002, Madhya Pradesh,","(0761)-4043399,4031719","Nursery - Class XII,CBSE Board,Private School,Co-Educational School,Established in 2002,
"
